"Timestamp","Distance Filter","Accuracy","Speed","Course","Distance","Latitude","Longitude"
2017-08-26_08:34:43,0,10,4,202,6,33.86582,-118.38461
2017-08-26_08:34:43,0,10,0,202,2,33.86583,-118.38462
2017-08-26_08:34:45,0,10,1,-1,5,33.86587,-118.38464
2017-08-26_08:34:46,0,10,0,-1,0,33.86587,-118.38464
2017-08-26_08:34:54,0,10,0,23,0,33.86587,-118.38464
2017-08-26_08:34:55,0,10,0,180,0,33.86587,-118.38464
2017-08-26_08:34:56,0,10,1,183,3,33.86584,-118.38463
2017-08-26_08:34:57,0,10,2,196,1,33.86584,-118.38463
2017-08-26_08:34:58,0,10,0,350,0,33.86584,-118.38463
2017-08-26_08:34:59,0,10,0,1,0,33.86584,-118.38463
2017-08-26_08:35:00,0,10,0,2,0,33.86584,-118.38463
2017-08-26_08:35:01,0,10,1,11,1,33.86583,-118.38463
2017-08-26_08:35:02,0,10,0,11,0,33.86583,-118.38463
2017-08-26_08:35:03,0,10,1,10,1,33.86584,-118.38463
2017-08-26_08:35:04,0,10,0,2,0,33.86584,-118.38463
2017-08-26_08:35:05,0,10,0,10,0,33.86584,-118.38463
2017-08-26_08:35:06,0,10,0,198,0,33.86584,-118.38463
2017-08-26_08:35:07,0,10,0,228,0,33.86584,-118.38463
2017-08-26_08:35:09,0,10,2,353,3,33.86585,-118.38464
2017-08-26_08:35:10,0,10,0,352,0,33.86585,-118.38464
2017-08-26_08:35:11,0,10,1,354,1,33.86585,-118.38464
2017-08-26_08:35:12,0,10,0,272,0,33.86585,-118.38464
2017-08-26_08:35:13,0,10,1,270,1,33.86585,-118.38464
2017-08-26_08:35:14,0,10,0,247,0,33.86585,-118.38464
2017-08-26_08:35:15,0,10,0,249,0,33.86585,-118.38464
2017-08-26_08:35:16,0,10,0,353,0,33.86585,-118.38464
2017-08-26_08:35:24,0,10,2,151,2,33.86585,-118.38463
2017-08-26_08:35:25,0,10,2,147,1,33.86584,-118.38462
2017-08-26_08:35:26,0,10,1,133,1,33.86584,-118.38462
2017-08-26_08:35:27,0,10,1,46,1,33.86584,-118.38462
2017-08-26_08:35:28,0,10,0,12,0,33.86584,-118.38462
2017-08-26_08:35:29,0,10,0,358,0,33.86584,-118.38462
2017-08-26_08:35:30,0,10,0,354,0,33.86584,-118.38462
2017-08-26_08:35:31,0,10,0,172,0,33.86584,-118.38462
2017-08-26_08:35:34,0,10,0,353,0,33.86584,-118.38462
2017-08-26_08:35:36,0,10,0,268,0,33.86584,-118.38462
2017-08-26_08:35:52,0,10,0,354,0,33.86584,-118.38462
2017-08-26_08:35:55,0,10,2,354,4,33.86587,-118.38463
